,Names,Date and Time
0,Flutter Forward - Viewing Party,"Wed, Jan 25, 7:30 PM (IST)"
1,Cloud Open House,"Sat, Feb 18, 1:00 PM (IST)"
2,AI Adapt Search - 1st Edition,"Sat, Mar 18, 1:00 PM (IST)"
3,Cloud 2023,"Sat, Apr 15, 1:00 PM (IST)"
4,DevHackathon with Flutter 2023,"Sat, May 20, 1:00 PM (IST)"
5,Google Cloud Platform in 2023,"Sat, Jun 17, 1:00 PM (IST)"
6,Product Development Lifecycle,"Feb 4 - Mar 4, 4:00 PM (IST)"
7,Flutter Forward Extended Ranchi,"Sat, Jan 28, 10:00 AM (IST)"
8,DroidFest Kolkata 2023,"Fri, Jan 27, 9:00 AM (IST)"
9,DevFest Bangladesh 2022 - GDG Sonargaon,"Sat, Jan 28, 9:45 AM (IST)"
10,Flutter Lab 0.2,"Sun, Feb 5, 9:30 AM (IST)"
11,Smart Hackathon 2023,"Feb 11 - 12, 9:00 AM (IST)"
12,Women Techmakers' International Women's Day Conference,"Sat, Jan 28, 9:30 AM (GMT+6)"
13,Firebase Dev Day 2023,"Sat, Feb 11, 11:15 AM (GMT+6)"
14,DevFest-Kabul-Afghanistan,"Feb 11 - 12, 8:00 AM (IST)"
15,Best practices : Improve your Flutter app,"Wed, Mar 8, 9:52 PM (PKT)"
