,Names,Date and Time
0,Global Hacks Hackathon: 2022 - 2023,"Sat, Jan 21, 2023 8:30 AM PST (-08:00) + 25 more events"
1,GovTech Virtual & Hybrid Hackathon 2023,"Sat, Jan 21, 2023 8:30 AM PST (-08:00) + 25 more events"
2,Encode x Urbit Hackathon: Finale and Prizegiving,"Sat, Jan 21, 2023 8:30 AM PST (-08:00) + 25 more events"
3,FinTech Virtual & Hybrid Hackathon 2023,"Fri, Feb 10, 2023 7:00 PM GMT (+00:00)"
4,Encode Hackathon Sponsored by the Solana Foundation: Finale and Prizegiving,"Fri, Feb 10, 2023 7:00 PM GMT (+00:00)"
5,Hackherthon (IWD)  Virtual & Hybrid Hackathon 2023,"Fri, Feb 10, 2023 7:00 PM GMT (+00:00)"
6,Encode Hackathon Sponsored by Solana Foundation: Solana Ecosystem Overview,"Mon, Jan 23, 2023 6:30 PM GMT (+00:00)"
7,DeveloperWeek Europe 2023 Hackathon,"Mon, Jan 23, 2023 6:30 PM GMT (+00:00)"
8,Cohere Hackathon,"Mon, Jan 23, 2023 6:30 PM GMT (+00:00)"
9,Girls in CS Winter Hackathon,"Fri, Apr 21, 2023 7:00 PM BST (+01:00)"
10,HealthTech Virtual & Hybrid Hackathon 2023,"Fri, Apr 21, 2023 7:00 PM BST (+01:00)"
11,Medications Interoperability Hackathon 2023,"Fri, Apr 21, 2023 7:00 PM BST (+01:00)"
12,EducateHacks 2023 Hackathon,"Thu, Feb 16, 2023 5:30 PM GMT (+00:00)"
13,Hackathon: Hack the Hospital 2,"Thu, Feb 16, 2023 5:30 PM GMT (+00:00)"
14,Project:Hack 18,"Thu, Feb 16, 2023 5:30 PM GMT (+00:00)"
15,RecruitaTH0n (Grads & Interns) Virtual Hackathon 2023,"Fri, Mar 3, 2023 7:00 PM GMT (+00:00)"
16,Girls Who Start Design Challenge Hackathon 2023,"Fri, Mar 3, 2023 7:00 PM GMT (+00:00)"
17,UK FHIR Core Learnathon,"Fri, Mar 3, 2023 7:00 PM GMT (+00:00)"
18,Hatch Hackathon: Lean Business Model Canvas,"Thu, Jan 26, 2023 5:00 PM GMT (+00:00)"
19,"Pride Month (Inclusion, Diversity & Equality) Virtual & Hybrid Hackathon","Thu, Jan 26, 2023 5:00 PM GMT (+00:00)"
20,DeveloperWeek Latin America 2023 Hackathon,"Thu, Jan 26, 2023 5:00 PM GMT (+00:00)"
21,E-Government Hackathon (virtual guest),"Mon, Apr 10, 2023 10:00 AM BST (+01:00)"
22,Green Mobility,"Mon, Apr 10, 2023 10:00 AM BST (+01:00)"
