,Names,Date and Time
0,Hackshetra'23,"Jan 21 - 22, 2023"
1,Octahacks 5.0,"Dec 15, 2022 - Jan 22, 2023 "
2,Ingenious Hackathon 4.0,Online
3,LNMHacks 5.0,"Jan 28 - 29, 2023"
4,Castor 2023,"Jan 27 - 30, 2023"
5,Unscript 2k23,"Jan 27 - 29, 2023"
6,ETHforAll,"Feb 11 - 12, 2023"
7,Hackoverflow 2.0 (Phase-1),"Feb 4 - 19, 2023"
8,DotSlash 6.0,"Feb 18 - 19, 2023"
9,Hack Infinity 3.0,"Feb 3 - 5, 2023"
10,UnScript Rookies Hackathon 2k23,"Feb 9 - 10, 2023"
11,Technex - Hackathon'23,"Feb 10 - 11, 2023"
12,HACK JMI,"Feb 10 - 12, 2023"
13,Vashist,"Jan 19 - Feb 11, 2023"
14,Reckon 4.0,"Feb 25 - 26, 2023"
15,HACK BREWER,"Feb 24 - 26, 2023"
16,Diversion 2k23,"Feb 17 - 24, 2023"
17,DUHacks 2.0,"Mar 10, 2023"
18,HackMol 4.0,"Apr 26 - 28, 2023"
19,Ur-Hackathon 2.0,"Jan 23 - Feb 21, 2023"
20,Innerve 7.0,"Jan 18 - Feb 26, 2023"
21,Nebula,"Feb 10 - Mar 13, 2023"
22,CYBER SHADEZ 2023,"Mar 14 - 27, 2023"
23,Hult Prize BVCOE 2023,"Mar 15 - 16, 2023"
24,HackBeats,"Apr 21 - 22, 2023"
